,Unnamed: 0,event,link,description,when,location,price,target_age,organization
12,12,Town Board Meeting,https://www.townofmamaroneckny.gov/Calendar.aspx?EID=1483&month=11&year=2025&day=19&calType=0,"The Town Board will meet for a regularly scheduled worksession meeting beginning, untelevised, but open to the public, at 5:00 PM. The Town Board Meeting will continue at 8:00 PM., televised on Cablevision (Optimum) 75, 76, 77 or Verizon (Fios) 34, 35, 36) and streamed live over the internet at the following web address https://lmcmedia.org.",2025-12-17T17:00:00,Town Center,,adults,Town of Mamaroneck
0,0,Ethics Board Meeting,https://www.villageofmamaroneckny.gov/home/events/134846,Ethics Board Meeting,"Wednesday, November 19, 2025 - 4:30pm","Village Hall at the Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
1,1,Year Round Recreation Ad Hoc Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/146336,Year Round Recreation Ad Hoc Committee Meeting,2025-11-19T19:00:00,"Blue Room at the Pavilion, Village of Mamaroneck, 123 Mamaroneck Ave., Mamaroneck, NY 10543",,adults,Village of Mamaroneck
2,2,Beautification Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/141371,"Beautification Committee Meeting. This meeting is scheduled for Wednesday, November 19, 2025, at 7:30 PM and will be held at The Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543.",2025-11-19T19:30:00,"The Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
3,3,Fire Council Meetings @ Volunteers Fire House,https://www.villageofmamaroneckny.gov/home/events/136791,Fire Council Meetings @ Volunteers Fire House,"Wednesday, November 19, 2025 - 7:30pm","Volunteers Fire House, 123 Mamaroneck Ave., Mamaroneck, NY 10543",,adults,Village of Mamaroneck
4,4,Harbor and Coastal Zone Management Commission Meeting,https://public.destinyhosted.com/agenda_publish.cfm?id=62627&mt=ALL&get_month=11&get_year=2025&dsp=ag&seq=131,Harbor and Coastal Zone Management Commission Meeting,2025-11-19T19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543.",,adults,Village of Mamaroneck
5,5,Board of Architectural Review Meeting,https://public.destinyhosted.com/agenda_publish.cfm?id=62627&mt=ALL&get_month=11&get_year=2025&dsp=ag&seq=132,Board of Architectural Review Meeting. This meeting will cover architectural review items for the Village of Mamaroneck.,2025-11-20T19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
6,6,59th Annual Turkey Trot & Gobbler Race,https://www.villageofmamaroneckny.gov/parks-recreation/turkey-trot,"The Village of Mamaroneck Parks and Recreation Department welcomes runners and spectators for the 59th annual Turkey Trot and Gobbler Race! The event will be held on Sunday, November 23rd at Harbor Island Park. Race day registration opens at 8:00am. The 1-mile Gobbler Race will begin at 9:45am and the 5K Turkey Trot will begin after completion of Gobbler Race. All registrants will receive a free t-shirt and medal.",2025-11-23T08:00:00,"Harbor Island Park, Village of Mamaroneck, NY",,"kids, teens, adults",Village of Mamaroneck
7,7,Board of Trustees Work Session,https://www.villageofmamaroneckny.gov/home/events/146331,Board of Trustees Work Session,2025-11-24 5:30pm,Courtroom @ 169 Mt. Pleasant Avenue,,adults,Village of Mamaroneck
8,8,Board of Trustees Legislative Meeting,https://www.villageofmamaroneckny.gov/home/events/134086,Board of Trustees Legislative Meeting,2025-11-24T18:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
9,9,Fire Council Meetings @ Volunteers Fire House,https://www.villageofmamaroneckny.gov/home/events/139401,Fire Council Meetings @ Volunteers Fire House,2025-11-26T19:30:00,Volunteers Fire House,,adults,Village of Mamaroneck
10,10,Thanksgiving Day - All Non-Emergency Village Offices Are Closed,https://www.villageofmamaroneckny.gov/home/events/133501,"All Non-Emergency Village offices are closed on Thursday, November 27 in honor of Thanksgiving Day. There will be no garbage, organic, food scrap, rubbish, or recycling collection on Thursday, November 27. The Recycling Center, including the Compost Drop-Off Program, at 313 Fayette Avenue is closed. The Marine Education Center at Harbor Island Park is also closed.",2025-11-27,Village of Mamaroneck,,adults,Village of Mamaroneck
11,11,All Non-Emergency Village Offices Closed,https://www.villageofmamaroneckny.gov/home/events/133506,"All Non-Emergency Village offices are closed on Friday, November 28. However, normal Friday garbage/rubbish pickup will take place as scheduled. The Recycling Center, including the Compost Drop-Off Program, at 313 Fayette Avenue is closed. The Marine Education Center at Harbor Island Park is also closed.","Friday, November 28, 2025 (All day)",Village of Mamaroneck,,adults,Village of Mamaroneck
12,12,Board of Trustees Annual Organizational Meeting,https://www.villageofmamaroneckny.gov/home/events/134096,Board of Trustees Annual Organizational Meeting,2025-12-01T19:00:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
13,13,Budget Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/134596,Budget Committee Meeting,2025-12-02T19:00:00,"Village Hall at the Regatta, 123 Mamaroneck Ave., Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
14,14,Board of Architectural Review Meeting- Cancelled,https://www.villageofmamaroneckny.gov/home/events/134216,Board of Architectural Review Meeting- Cancelled,2025-12-02T19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
15,15,Courtroom Unavailable,https://www.villageofmamaroneckny.gov/home/events/140086,Courtroom Unavailable,"Wednesday, December 3, 2025 - 6:00pm to 8:00pm","123 Mamaroneck Ave., Mamaroneck, NY 10543",,adults,Village of Mamaroneck
16,16,Parks & Recreation Commission Meeting,https://www.villageofmamaroneckny.gov/home/events/134536,Parks & Recreation Commission Meeting,2025-12-03T19:00:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
17,17,Tree Committee Meeting,https://www.villageofmamaroneckny.gov/home/events/134671,"The Tree Committee will hold its regular meeting at Village Hall at the Regatta. The meeting will focus on discussing tree-related matters within the Village. Agenda items may include reviewing past events, planting guidelines, street tree inventory reports, and potential new tree planting initiatives. Information on tree laws, recommended urban trees, and resources for finding arborists will likely be available or discussed.","Wednesday, December 3, 2025 - 7:30pm","Village Hall at the Regatta, 123 Mamaroneck Ave, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
18,18,NEW: Arts Council Meeting,https://www.villageofmamaroneckny.gov/home/events/134876,"NEW: Arts Council Meeting RESCHEDULED to Thursday, December 4th. The meeting will be held at the Village Conference Room at the Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543.",2025-12-04T19:00:00,"Village Conference Room at the Regatta, 123 Mamaroneck Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
19,19,Zoning Board of Appeals Meeting,https://www.villageofmamaroneckny.gov/home/events/134426,Zoning Board of Appeals Meeting,2025-12-04 19:30:00,"Village Courtroom, 169 Mount Pleasant Avenue, Mamaroneck, NY, 10543",,adults,Village of Mamaroneck
0,0,Save the Date Community Resource Center’s Annual Gala,https://www.crcny.org/event/save-the-date-community-resource-centers-annual-gala-2/,MiCasa es suCasa Because this home was built for us,"November 20, 2025, 6:00 pm - 10:00 pm","Glen Island Harbour Club, 50 Glen Island Harbour Club, New Rochelle, NY, 10805, United States",,adults,Community Resource Center
0,0,Fall Film Club 2025 #5,https://emelin.org/event/fall-film-club-2025-5/,"Be among the first to see highly critically acclaimed curated films that are n... Includes five critically acclaimed curated films, curated by film programmer David Schwartz. Enjoy exclusive post-film interviews, reserved seating, and a members-only e-newsletter. Beer, wine, and snacks are available for purchase, and a complimentary reception is included for Film Club members. Film titles are kept secret until showtime. Please note this is a subscription series; individual film tickets are not available.",2025-11-19,Emelin Theatre For The Performing Arts,$125,adults,Emelin Theater
1,1,Kat Edmonson,https://emelin.org/event/kat-edmonson/,"Jazz-pop vocalist Kat Edmonson performs live with acoustic guitar and cello in an intimate performance. As described by The New York Times, she is “A savvy student of ’60s film soundtracks, jazz-pop stylings, and Brill Building songcraft.” With a style that blends vintage pop, cabaret, and jazz with cinematic flair, Edmonson offers a sound that is both nostalgic and uniquely her own. Accompanied by acoustic guitar and cello, her airy vocals, poetic lyrics, and refined stage presence invite audiences into a world of storytelling.","Friday, November 21, 2025 @ 8pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$50 – $68,adults,Emelin Theater
2,2,Brad Upton,https://emelin.org/event/brad-upton/,"Clean, smart comedy from a viral sensation with timeless appeal. Brad has shared the stage with the likes of Joan Rivers, Dolly Parton, and Johnny Mathis, and has performed in all 50 states and around the world. His viral Dry Bar Comedy specials have introduced millions of new fans to his smart, side-splitting storytelling and no-nonsense wit. Known for his clean, relatable humor and razor-sharp timing, Brad effortlessly mines laughs from everyday life, marriage, parenting, aging, and everything in between.",2025-11-22T20:00:00,"Emelin Theatre For The Performing Arts, 153 Library Lane, Mamaroneck, NY 10543 United States",$41 – $53,adults,Emelin Theater
3,3,Storm Large: Holiday Ordeal,https://emelintheatre.my.salesforce-sites.com/ticket/#/instances/a0Fam000006rvazEAA/sectionGroups/a0bam000004gFzdAAE,"Storm Large dashes in with her signature “Holiday Ordeal,” an evening of wickedly funny, deeply personal, and wildly entertaining holiday anthems and originals. Best known for her powerhouse vocals, off-the-cuff humor, and genre-bending performances, Storm brings a cathartic mix of humor and heart to the season. Expect a cocktail of holiday classics, rock-n-roll ballads, and tongue-in-cheek torch songs delivered with powerhouse vocals and a wink. A long-time member of Pink Martini and a fan favorite from America’s Got Talent, Storm is beloved for her magnetic stage presence and fearless honesty. Whether she’s crooning I’ll Be Home for Christmas or belting out an edgy original, her holiday show is anything but ordinary. Join us for a night of irreverent cheer, emotional release, and musical brilliance. Just the way the holidays should be.",2025-12-05T20:00:00-05:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$47 – $59,18+,Emelin Theater
4,4,The Martin Sexton Abbey Road Show,https://emelin.org/event/the-martin-sexton-abbey-road-show/,"Reimagines The Beatles’ Abbey Road with soul and passion. Acclaimed singer-songwriter Martin Sexton returns and puts his own soulful, blues-infused spin on The Beatles’ legendary *Abbey Road* album in this one-of-a-kind tribute concert. Known for his remarkable vocal range and powerful live performances, Sexton reimagines these timeless songs with heartfelt storytelling and masterful musicianship. Expect an evening celebrating one of the greatest albums ever recorded, brought to life through the voice and artistry of a true American troubadour.",2025-12-06T20:00:00,"Emelin Theatre For The Performing Arts, 153 Library Lane, Mamaroneck, NY 10543, United States",$57 – $66,adults,Emelin Theater
5,5,Isle of Klezbos,https://emelin.org/event/isle-of-klezbos/,"The soulful, fun-loving powerhouse all women's sextet fuses klezmer tradition with jazz, swing, and global influences. Seen and heard on HBO, NPR, CBS Sunday Morning, PBS, and The L Word, Isle of Klezbos has been praised by The New York Times for its “intoxicating mix of tradition and irreverence.”","Sunday, December 7, 2025 @ 2pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$35 – $47,adults,Emelin Theater
6,6,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-13/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. Inspired by the work of Rudolf Nureyev and Marius Petipa, this 90-minute adaptation by French-American choreographer Carole Alexis is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.","2025-12-13, 2025-12-14, 2025-12-20, 2025-12-21, 2025-12-22","Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$30 – $58,"kids, adults, family",Emelin Theater
7,7,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-12/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. This 90-minute adaptation is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.",2025-12-14,Emelin Theatre For The Performing Arts,$30 – $58,"kids, adults",Emelin Theater
8,8,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-11/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. The 90-minute adaptation is an exquisite interpretation of the beloved holiday classic, with professional dancers of Ballet des Amériques performing the featured roles, and additional roles performed by young dancers from our area.",2025-12-22T17:00:00,"Emelin Theatre For The Performing Arts, 153 Library Lane, Mamaroneck, NY 10543",$30 – $58,"kids, adults",Emelin Theater
9,9,Nutcracker Dream,https://emelin.org/event/nutcracker-dream/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. This 90-minute adaptation is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions. Carole Alexis' choreographic work is rooted in classical ballet training and tradition while drawing upon influences as disparate as children’s games, island rituals, natural phenomena, and modern urban life.","December 13, 14, 20, 21, & 22 @ 1:30pm & 5pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$30 – $58,"kids, adults",Emelin Theater
0,0,Dec. 8: Member Holiday Dinner,https://www.mamaroneckhistoricalsociety.org/new-events/2025/12/8/dec-8-member-holiday-dinner,"The Mamaroneck Historical Society's Member Holiday Dinner will take place Monday, Dec. 8, at Alessia's Trattoria, 551 Halstead Avenue, Mamaroneck.

Cost is $60 by check or $65 online. See the flyer for details on how to RSVP. To buy tickets online tap on the flyer to go to our [Support/Donate page.](/support)

Member Holiday Dinner flyer","Monday, December 8, 2025, 6:30 PM - 8:30 PM","Alessia's Trattoria, 551 Halstead Avenue, Mamaroneck, NY, 10543 United States",$60 by check or $65 online,adults,Mamaroneck Historical Society
1,1,Nov. 18: Veterans program at Members Get-together,https://www.mamaroneckhistoricalsociety.org/new-events/2025/11/18/nov-18-veterans-program-at-members-get-together,"A program on World War II veterans will be featured at the Mamaroneck Historical Society's November Members Get-together. The meeting is 7 p.m. Tuesday, Nov. 18, at the Woman's Club of Mamaroneck, 504 Cortlandt Avenue. We will be showing a program produced by a former Historical Society president, William Fraser, that showcased World War II veterans who fought during the battles of Okinawa in the Marines and Navy. Several heroic stories will be retold of action that took place during the battle. Tales of saving lives during kamikaze attacks told by local Mamaroneck boys are part of the forgotten details retold by men who were actually there.","Tuesday, November 18, 2025, 7:00 PM - 9:00 PM","Woman's Club of Mamaroneck, 504 Cortlandt Avenue, Mamaroneck, NY, 10543 United States",,adults,Mamaroneck Historical Society
2,2,Oct. 21 Members Get-together: Revolutionary Westchester 250 event plans,https://www.mamaroneckhistoricalsociety.org/new-events/2025/10/7/oct-21-members-get-together-revolutionary-westchester-250-event-plans,"Upcoming events celebrating the 250th anniversary of the Revolutionary War will be the topic at the October Mamaroneck Historical Society Members Get-together. Society President John Pritts will speak during the meeting, 7 p.m. Tuesday, Oct. 21, at the Woman's Club of Mamaroneck, 504 Cortlandt Avenue. Revolutionary War 250 is planning on big events to celebrate Westchester’s part in our early efforts for freedom from the British. In October of 1776 the Skirmish on Heathcote Hill took place right here in our town. 750 American troops were sent by George Washington stationed in White Plains to surprise British troops camped on Heathcote Hill under the leadership of Colonel Rogers. Rogers' headquarters was the original schoolhouse located where Orienta Ave and Old White Plains Road meet today.","Tuesday, October 21, 2025, 7:00 PM - 9:00 PM","Woman's Club of Mamaroneck, 504 Cortlandt Avenue. Mamaroneck, NY 10543",,adults,Mamaroneck Historical Society
0,0,"Little Sprouts 
– Fall Fun",https://sheldrakeenvironmentalcenter.app.neoncrm.com/eventReg.jsp?event=1073&,"Get outside with other families and a naturalist at Sheldrake, as you discover nature with your little one. This class is designed to expose children to the joys of nature at a young age, towards the goal of cultivating a life-long love of the natural world. Adventures for wee ones might include looking for frogs, listening to birdsong, studying animal tracks, storytime, games, or crafts. There’s no shortage of educational fun on Sheldrake’s 60 acres!","Thursdays, September 25 - November 20, 2025, 10:00-11:00 am (8 weeks; class doesn't meet on 10/2)","Sheldrake, 685 Weaver St, Larchmont, NY 10538",Free,2 years old with adult caregiver,Sheldrake Environmental Center
1,1,Forest Friends – Fall Wednesdays,https://sheldrakecenter.org/event/forest-friends-fall-wednesdays-3/,"Fall fun awaits at Sheldrake’s popular program for preschool-aged children. Get the kids outside for STEM fun and adventures on our 60 acres of protected land. Through a combination of trail exploration, games, stories, and other activities, we’ll enjoy loads of nature fun while observing the impact of the changing season on wildlife and habitats. Our naturalist-led program provides the opportunity for enrichment, connection with nature, and the company of other young enthusiasts.Our Forest Friends: get hands-on experience with science and nature on a 60-acre nature conservancy, learn about the animals and plant life that call Sheldrake home, savor the splendor of fall while observing how the natural world transitions to winter, foster appreciation for the natural world and establish the foundation for a life-long love of nature.","Wednesdays, October 8 - December 17, 2025 (10 weeks, class does not meet on 11/26), 3:45-4:45 pm","Sheldrake Environmental Center, 685 Weaver St, Larchmont, NY 10538",$240 (members) / $270 (nonmembers),3-5 years old,Sheldrake Environmental Center
2,2,Season’s Eatings: Make a Holiday Feast for the Birds – FREE!,https://sheldrakecenter.org/event/seasons-eatings-make-a-holiday-feast-for-the-birds-free/,"Join us in search of the birds that winter at Sheldrake, and help us get them holiday-ready. We’ll make pinecone feeders both to leave behind at Sheldrake and to take home for our backyard friends. Part of the Sheldrake Second Saturday Series of free family programs, made possible by a generous grant from Con Edison. This program is not a drop-off; children must be accompanied by an adult. The event will be conducted entirely outdoors. Please leave pets at home.","Saturday, December 13, 2025, 10:00 AM - 11:00 AM","Sheldrake, 685 Weaver St, Larchmont, NY 10538",Free,"5 and up, families",Sheldrake Environmental Center
0,0,Home for the Holidays Member Group Show “A Gift of Art” & Holiday Boutique,https://mamaroneckartistsguild.org/2025-holiday-show-and-boutique-a-gift-of-art/,Member Group Show “A Gift of Art” & Holiday Boutique. Home for the Holidays.,"2025-11-19 to 2025-12-24, with a Holiday Reception on 2025-12-06 from 3-6 pm","Mamaroneck Artists Guild Gallery, 1987 Palmer Ave., Larchmont NY 10538",,adults,Mamaroneck Artist Guild
1,1,Holiday Reception for Home for the Holidays,https://mamaroneckartistsguild.org/2025-holiday-show-and-boutique-a-gift-of-art/,Holiday Reception for the Member Group Show “A Gift of Art” & Holiday Boutique.,"2025-12-06, 3-6 pm","Mamaroneck Artists Guild Gallery, 1987 Palmer Ave., Larchmont NY 10538",,adults,Mamaroneck Artist Guild
2,2,Jury In for 4 months MAG Membership and Participate in 4 Group Member Shows,https://mamaroneckartistsguild.org/membership/jury-in/,Apply for 4 months MAG Membership and participate in 4 Group Member Shows.,2025-12 to 2026-03,"Mamaroneck Artists Guild Gallery, 1987 Palmer Ave., Larchmont NY 10538",,adults,Mamaroneck Artist Guild
0,0,2026 Travel Baseball 9U-17U - REG NOW!,https://www.lmlittleleague.org/news_article/show/1250793?referrer_id=6901006,"Registration Deadline: Friday, Oct 17. Tryouts for 9U-13U will be held on Saturday, Oct 25 and Saturday, Nov 1. Players are chosen based on skill, travel league needs, and coach requests. Summer Travel teams play 3-4 games a week from early June to mid-August. Fees for Summer Travel teams range from $950-$1,550 depending on age group.",2025-10-03T21:45:00,Outdoor tryouts; specific location to be provided in tryout assignment notification.,"$35 tryout fee (plus processing fee). Summer Travel Team fees range from $950-$1,150 ($1,550 for 17U).","9U, 10U, 11U, 12U, 13U, 14U, 15U, 16U, 17U",Larchmont-Mamaroneck Little League
1,1,Register NOW for 10U-14U Softball Travel 2026!,https://www.lmlittleleague.org/news_article/show/1261427?referrer_id=6901006,"LMLL Travel Softball Registration for our 2026 Summer and Fall teams for Softball ages 10U through 14U (born AFTER 8/31/2010) is NOW OPEN! Registration deadline is Friday, October 31st. Deposits will be required upon team selection. Summer travel teams will play approximately 2 games per week and practice 2+ times per week. The non-tournament 10U team will play approximately one game per week and have one practice per week. Summer fees are expected to be in the range of $550-$850. Uniforms are an additional estimated cost of $65. Fall fees are expected to be in the range of $550-625.",2025-10-17T18:00:00,,$550-$850,"10U, 12U, 14U",Larchmont-Mamaroneck Little League
0,0,TRIVIA!,https://www.marloweales.com/hghg,Every Wednesday Night @7pm. Free to play! Win prizes! Hosted By Best Trivia Ever!,2025-11-20T19:00:00,"139 Hoyt Ave, Suite A Mamaroneck, NY 10543",Free to play!,adults,Marlowe Artisanal Ales
