,event,link,description,when,location,price,target_age,organization
10,Crystal Ship: The Doors Experience,https://emelin.org/event/crystal-ship/,"Crystal Ship brings the raw energy of Jim Morrison to life in a powerful Doors tribute packed with hits & vintage rock vibes. Step into the spirit of the Sunset Strip and experience The Doors like never before. Crystal Ship channels the raw energy of Jim Morrison with precision, passion, and power—delivering a concert that feels like stepping into 1969. Led by Eddie Racci, one of the world’s top Morrison interpreters, Crystal Ship recreates the sights, sounds, and intensity of a live Doors performance. Expect unforgettable renditions of Light My Fire, Riders on the Storm, Love Me Two Times, L.A. Woman, and more—performed with vintage gear and authentic stage presence. From sold-out shows across the East Coast to historic tours in the UK and Germany, Crystal Ship brings a night of psychedelic music that will light your fire.",2025-11-01T20:00:00-04:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$44 – $55,adults,Village of Mamaroneck
11,Fall Film Club 2025 #4,https://emelin.org/event/fall-film-club-2025-4/,"Be among the first to see highly critically acclaimed curated films that are not yet available to the public. This Fall Film Club participation includes five critically acclaimed curated films, curated by film programmer David Schwartz, exclusive post-film interviews, reserved seating, and a Film Club Members Only e-Newsletter. Beer, Wine & Snacks are available for purchase at our Lobby Bar, and a Complimentary Film Club Members Only Reception is included. To add to the fun, film titles are kept secret until showtime.",2025-11-05,Emelin Theatre,$125,adults,Village of Mamaroneck
12,Devonte Magic,https://emelin.org/event/devonte-magic/,"Mind-blowing magic and mentalism from a world-class performer. Experience the electrifying world of Devonte Rosero, the internationally acclaimed mentalist and magician who has captivated audiences across the globe. With over 10,000 performances in 25 cities spanning 4 continents, Devonte brings a dynamic blend of magic, mentalism, and showmanship to the stage. Devonte’s talent propelled him to win first place at the world-famous Showtime at the Apollo at just 16. Since then, he has performed for high-profile clients including Martin Scorsese, Robert De Niro, and Mark Cuban. Devonte’s performances are not just about tricks—they’re about creating unforgettable experiences. Whether he’s reading minds on Instagram Live for his 200,000 followers or performing live on stage, Devonte’s passion for magic and mentalism shines through every act.",2025-11-08T20:00:00-05:00,Emelin Theatre,$53 – $89,all ages,Village of Mamaroneck
13,An Evening with Jim Messina,https://emelin.org/event/an-evening-with-jim-messina/,"Jim Messina performs his hits from Buffalo Springfield, Poco, and Loggins & Messina. With a career spanning six decades, Jim Messina has left an indelible mark on the sound of American music. As a founding member of Buffalo Springfield, Poco, and Loggins & Messina, his genre-defining contributions to rock, country rock, and folk continue to influence artists across generations. From producing and performing alongside Kenny Loggins to crafting enduring classics like “Your Mama Don’t Dance,” “Peace of Mind,” and “Angry Eyes,” Messina’s work has earned platinum records, sold-out tours, and a devoted following. His solo performances are a journey through the golden age of California rock—filled with rich harmonies, masterful guitar work, and heartfelt storytelling. Whether you know him from his chart-topping collaborations or his trailblazing work with some of music’s biggest names, Jim Messina’s live performance is a masterclass in songwriting, musicianship, and legacy.","Saturday, November 15, 2025 @ 8pm","Emelin Theatre, 153 Library Lane Mamaroneck, NY 10543 United States",$71 – $94,adults,Village of Mamaroneck
14,Fall Film Club 2025 #5,https://emelin.org/event/fall-film-club-2025-5/,"Be among the first to see highly critically acclaimed curated films that are not yet available to the public. Five critically acclaimed curated films, curated by film programmer David Schwartz. Exclusive post film interviews, reserved seating, Film Club Members Only e-Newsletter, Beer, Wine & Snacks available for purchase at our Lobby Bar, Complimentary Film Club Members Only Reception. Film titles are kept secret until showtime.",2025-11-19,Emelin Theatre,$125,adults,Village of Mamaroneck
15,Kat Edmonson,https://emelin.org/event/kat-edmonson/,"Jazz-pop vocalist Kat Edmonson performs live with acoustic guitar and cello in an intimate performance. Her music blends vintage pop, cabaret, and jazz with cinematic flair. She has been praised by The New York Times for her savvy student of ’60s film soundtracks, jazz-pop stylings, and Brill Building songcraft.",2025-11-21T20:00:00-05:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$50 – $68,adults,Village of Mamaroneck
16,Brad Upton,https://emelin.org/event/brad-upton/,"Clean, smart comedy from a viral sensation with timeless appeal. Brad has shared the stage with the likes of Joan Rivers, Dolly Parton, and Johnny Mathis, and has performed in all 50 states and around the world. His viral Dry Bar Comedy specials have introduced millions of new fans to his smart, side-splitting storytelling and no-nonsense wit. Known for his clean, relatable humor and razor-sharp timing, Brad effortlessly mines laughs from everyday life, marriage, parenting, aging, and everything in between.",2025-11-22T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$41 – $53,adults,Village of Mamaroneck
17,Storm Large: Holiday Ordeal,https://emelintheatre.my.salesforce-sites.com/ticket/#/instances/a0Fam000006rvazEAA,"Keep the kids home, and blend holiday classics with rock and cabaret for an unforgettable night. Storm Large dashes in with her signature “Holiday Ordeal,” an evening of wickedly funny, deeply personal, and wildly entertaining holiday anthems and originals. Best known for her powerhouse vocals, off-the-cuff humor, and genre-bending performances, Storm brings a cathartic mix of humor and heart to the season. Expect a cocktail of holiday classics, rock-n-roll ballads, and tongue-in-cheek torch songs delivered with powerhouse vocals and a wink. A long-time member of Pink Martini and a fan favorite from America’s Got Talent, Storm is beloved for her magnetic stage presence and fearless honesty. Whether she’s crooning I’ll Be Home for Christmas or belting out an edgy original, her holiday show is anything but ordinary. Join us for a night of irreverent cheer, emotional release, and musical brilliance. Just the way the holidays should be.",2025-12-05T20:00:00-05:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY, 10543, United States",$60 – $72,18+,Village of Mamaroneck
18,Koo Koo,https://emelin.org/event/koo-koo/,"Sesame Street meets the Beastie Boys in this hilarious, interactive kids' concert that will be a guaranteed blast. Get ready for a high-energy dance party that gets the whole family moving! Koo Koo is not your average kids’ show—it’s an interactive, joy-packed live concert that blends comedy, movement, and music into a one-of-a-kind family experience.",2025-12-06,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$35,All Ages,Village of Mamaroneck
19,The Martin Sexton Abbey Road Show,https://emelintheatre.my.salesforce-sites.com/ticket/#/instances/a0Fam000006K1nhEAC/sectionGroups/a0bam000004LcftAAC,"Acclaimed singer-songwriter Martin Sexton returns and puts his own soulful, blues-infused spin on The Beatles’ legendary *Abbey Road* album in this one-of-a-kind tribute concert. Known for his remarkable vocal range and powerful live performances, Sexton reimagines these timeless songs with heartfelt storytelling and masterful musicianship. Expect an evening celebrating one of the greatest albums ever recorded, brought to life through the voice and artistry of a true American troubadour.",2025-12-06T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$57 – $66,adults,Village of Mamaroneck
20,Isle of Klezbos,https://emelin.org/event/isle-of-klezbos/,"The soulful, fun-loving powerhouse all women's sextet fuses klezmer tradition with jazz, swing, and global influences. Seen and heard on HBO, NPR, CBS Sunday Morning, PBS, and The L Word, Isle of Klezbos has been praised by The New York Times for its “intoxicating mix of tradition and irreverence.” Performances range from Eastern European wedding dances to Yiddish swing and klezmer reggae. With inventive arrangements and vibrant energy, Isle of Klezbos celebrates Jewish musical heritage while joyfully pushing its boundaries—captivating audiences from Lincoln Center to Vienna.",2025-12-07T14:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$35 – $47,adults,Village of Mamaroneck
21,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-13/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. Inspired by the work of Rudolf Nureyev and Marius Petipa, this 90-minute adaptation by French-American choreographer Carole Alexis is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.","December 13, 14, 20, 21, & 22, 2025 @ 1:30pm & 5pm","Emelin Theatre, 153 Library Lane Mamaroneck, NY 10543 United States",$30 – $58,"kids, teens, adults",Village of Mamaroneck
22,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-12/,Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. The performance is 90 minutes long and includes young local dancers.,2025-12-22,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$30 – $58,"kids, teens, adults",Village of Mamaroneck
23,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-11/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. This 90-minute adaptation is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.",2025-12-20,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$30 – $58,"kids, teens, adults",Village of Mamaroneck
24,Nutcracker Dream,https://emelin.org/event/nutcracker-dream/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. Inspired by the work of Rudolf Nureyev and Marius Petipa, this 90-minute adaptation by French-American choreographer Carole Alexis is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.",2025-12-21,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$30 – $58,"kids, teens, adults",Village of Mamaroneck
25,Nutcracker Dream,https://emelin.org/event/nutcracker-dream-2025/,"Adaptation of the beloved holiday classic by Carole Alexis featuring professional dancers of Ballet des Amériques. This 90-minute adaptation is an exquisite interpretation of the beloved holiday classic. Professional dancers of Ballet des Amériques will perform the featured roles of the ballet, with additional roles performed by young dancers from our area selected by auditions.","December 13, 14, 20, 21, & 22 @ 1:30pm & 5pm","Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$30 – $58,"kids, teens, adults",Village of Mamaroneck
26,"Click, Clack, Moo",https://emelin.org/event/click-clack-moo-2/,"Cows that type? Hens on strike? Whoever heard of such a thing! In Click, Clack, Moo, based on the Caldecott Honor Book by Doreen Cronin and Betsy Lewin, the barnyard is buzzing when Farmer Brown’s granddaughter leaves her laptop in the cold. The cows use it to demand electric blankets—and when the answer is no, they go on strike, with the chickens right behind them. What follows is a hilariously heartwarming tale of negotiation and compromise, set to toe-tapping music by Brad Alexander, winner of the prestigious Richard Rodgers Award. Praised as “clever, fun, and full of heart… a delightful introduction to musical theatre” by Time Out NY Kids, and hailed by Parenting Magazine for delivering “a message even the youngest audience members will understand: cooperation and compromise are powerful tools,” this musical mooooooovement is perfect for your little farm hand. Approximate Running Time: 60 minutes",2026-01-25,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$27 – $32,4-7,Village of Mamaroneck
27,Doktor Kaboom! Look Out! Science is Coming!,https://emelin.org/event/doktor-kaboom-look-out-science-is-coming/,"STEM meets comedy in this explosive science show that has kids and adults laughing and learning together. Be amazed as Doktor Kaboom delivers an unforgettable one-man science variety show. From chemical reactions to physics demonstrations, every moment is packed with laughs, learning, and explosive (but safe) results. Whether you are a budding scientist or just love a good laugh, this show makes science thrilling and fun. Approximate Running Time: 60 minutes",2026-02-01,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$27 – $32,"kids, adults, 5-12",Village of Mamaroneck
28,John Pizzarelli Trio,https://emelin.org/event/john-pizzarelli-trio-2/,"World-renowned jazz guitarist and singer, blending old-school charm with modern flair. GRAMMY-award winning guitarist and singer John Pizzarelli returns, hailed by the Boston Globe for “reinvigorating the Great American Songbook and re-popularizing jazz.” Established as one of the prime contemporary interpreters of the Great American Songbook, Pizzarelli has expanded that repertoire by including the music of Paul McCartney, Joni Mitchell, Neil Young, Tom Waits, Antônio Carlos Jobim and the Beatles. Pizzarelli delivers a joyful night of music that sells fast every time he’s in town. Whether you’ve seen him before or are discovering his artistry for the first time, this is a must-see evening of classic jazz with a contemporary twist.",2026-02-07T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$65 – $77,adults,Village of Mamaroneck
29,Comedian Joe Matarese Live - A Perfect Pre Valentine's Night Out!,https://emelin.org/event/comedian-joe-matarese-live-a-perfect-pre-valentines-night-out/,"Get ready for a hilarious night with nationally touring comedian Joe Matarese. You may have seen him bring the house down on America's Got Talent—earning a standing ovation from all four celebrity judges, The Late Show with David Letterman, Comedy Central Presents (his very own 1/2 hour special), or heard him on The Howard Stern Show, and WTF with Marc Maron. Joe’s 4 comedy specials—Medicated, The Poster’s Wrong, Mullets and Mixtapes, and Almost Sold Out—have made him a favorite among fans who appreciate humor with heart, edge, and a touch of nostalgia. Join Joe at the Emelin Theater in Mamaroneck, NY, for a night of laughter just in time for Valentine’s Day. Whether you’re bringing a date or your best friends, it’s the perfect excuse to get out and laugh together.",2026-02-13T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$47 – $59,adults,Village of Mamaroneck
30,The Stinky Cheese Man & Other Fairly Stupid Tales,https://emelin.org/event/the-stinky-cheese-man-other-fairly-stupid-tales/,"Classic fairy tales get a silly makeover in this fast-paced, family-friendly show full of laughs and surprises. This fast-paced, 60-minute show is a whirlwind of fractured fairy tales where Cinderella snubs Rumpelstiltskin, the Ugly Duckling stays ugly, and the Tortoise challenges a hair-growing Hare. With witty narration, playful set designs, and a healthy dose of absurdity, this production is a treat for kids and adults alike.",2026-03-01,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543 United States",$27 – $32,"kids, teens, adults, ages 5-10",Village of Mamaroneck
31,Cat Kid Comic Club: the Musical,https://emelin.org/event/cat-kid-comic-club-the-musical/,"Frogs, comics, and chaos! Cat Kid Comic Club: The Musical is a laugh-out-loud adventure for the whole family. Join Cat Kid and Molly Pollywog as they lead 21 spirited baby frogs on a journey to create their own comics. But when their wild imaginations and constant squabbling send their stories off the rails, their fishy father Flippy flips out! Can creativity save the day? This madcap musical, based on Dav Pilkey’s hilarious book series, is a celebration of teamwork, friendship, and the power of imagination. Approximate Running Time: 60 minutes.",2026-04-12T11:00:00 and 2026-04-12T14:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$27 – $32,Grades 1-5,Village of Mamaroneck
32,Ann Hampton Callaway,https://emelin.org/event/ann-hampton-callaway/,"Tony-winner Ann Hampton Callaway brings soul, style, and songbook classics to life in a night of unforgettable jazz and vocal artistry. Known for her rich vocals, soulful interpretations, and masterful storytelling, Callaway brings the American Songbook to life with passion, wit, and grace. From classic standards to contemporary gems—and her own acclaimed compositions—expect a spellbinding evening filled with sophisticated charm and breathtaking musicianship.",2026-04-24T20:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$65 – $77,adults,Village of Mamaroneck
33,The Pout-Pout Fish,https://emelin.org/event/the-pout-pout-fish/,"Dive into a whimsical underwater adventure with *The Pout-Pout Fish*, a heartwarming musical that brings the beloved *New York Times* bestseller to life. Featuring a blend of vibrant puppetry and live performers, this tale follows Mr. Fish on a quest to find Miss Clam’s missing pearl, discovering along the way that there’s more to him than his signature pout. Co-conceived and designed by the acclaimed AchesonWalsh Studios, known for their work on Broadway’s *The King and I* and *On the Town*, this production promises a captivating experience for audiences of all ages. Approximate Running Time: 50 minutes",2026-05-02T11:00:00 and 2026-05-02T14:00:00,"Emelin Theatre, 153 Library Lane, Mamaroneck, NY 10543, United States",$27 – $32,"kids, all ages",Village of Mamaroneck
