,event,link,description,when,location,price,target_age,organization
10,Young & Restless - TICKET REQUIRED,https://larchmont.librarycalendar.com/event/young-restless-ticket-required-20941,"Explore the world of literacy with librarian Erin! She'll have themed songs, rhymes and books for your little ones to sing and clap to! AGES 0-3 *TICKET REQUIRED* tickets will be given out starting at 9:30am the day of the program *doors will close at 10:10am*. This program is designed for children and their caregiver. Please plan to attend and be engaged with your child for this program. Drop offs will not be permitted. The health of our staff and our patrons is important to us. If your child is too sick to attend school or participate in other activities please use common sense and refrain from bringing them to the library.",2025-10-01T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,"0-3, Children, Toddlers (1-3)",Larchmont Public Library
11,Liberty and Art With Joyce Raimondo on Zoom,https://larchmont.librarycalendar.com/event/liberty-and-art-joyce-raimondo-zoom-28188,"Virtual art programs presented by Joyce Raimondo, Education Coordinator, Pollock-Krasner House and Study Center. These programs do not promote any particular political group. They are designed to raise artistic awareness and creative expression in a respectful forum. Topics include ""GET A VOICE! ART AND SOCIAL JUSTICE"", ""BANNED: CENSORSHIP AND MODERN ART"", ""POLLOCK: POSTER CHILD FOR DEMOCRACY"", ""WAR AND PEACE IN MODERN ART"", ""CREATIVE LICENSE: OUT OF THE BOX"", and ""ART: PATH TO PERSONAL FREEDOM"".",2025-10-01T14:00:00,Online at Larchmont Public Library,,adults,Larchmont Public Library
12,Artcycling,https://larchmont.librarycalendar.com/event/artcycling-27721,Use our leftover craft supplies to make something new and beautiful! *For Children ages 4 and up & their caregivers* Caregiver must attend. Drop-in Program.,2025-10-02T14:30:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"kids, adults, preschool (3-4), younger school age (grades k-2)",Larchmont Public Library
13,Teen BOB team practice,https://larchmont.librarycalendar.com/event/teen-bob-team-practice-28017,BOB (Battle of the Books) is a reading challenge for young people. The program encourages reading for pleasure and provides opportunities for participants to engage in friendly competition. This event is a practice session for the teen team participating in the BOB program.,2025-10-02T17:15:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,teens,Larchmont Public Library
14,Once Upon a Crime with Caroline Cunningham on Zoom or in person,https://larchmont.librarycalendar.com/event/once-upon-crime-caroline-cunningham-zoom-or-person-20300,"This month's book: Say Nothing: A True Story of Murder and Memory in Northern Ireland by Patrick Radden Keefe. Jean McConville was abducted from her home in Belfast in December 1972 during The Troubles. In 2003, her remains were found on a beach. Books will be available on the Book Group Shelf 3 weeks before the meeting.",2025-10-02T19:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
15,Block & Roll,https://larchmont.librarycalendar.com/event/block-roll-24003,"Meet and make toddler friends during this unstructured playtime full of blocks, balls, and stacking toys! Even a play kitchen! *This is a drop-in, self-guided program, please clean up when you are finished playing*. Caregiver must attend and be engaged with their child. Drop offs will not be permitted. No registration is required.",2025-10-03T10:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"Babies (0-12 months), Toddlers (1-3), Children",Larchmont Public Library
16,Fall Opera Series: Watch Mozart's The Marriage of Figaro,https://larchmont.librarycalendar.com/event/fall-opera-series-watch-mozarts-marriage-figaro-27733,"Watch Mozart's Don Giovanni at the library on Friday, October 10th at 1 pm Watch Mozart's Così fan tutte at the library on Friday, October 17th at 1 pm Composed in 1786, the quintessential comic opera *Le Nozze di Figaro* (*The Marriage of Figaro*) picks up a few years after Rossini's *The Barber of Seville*, following the (mis)adventures of the lascivious Count Almaviva (Thomas Dolié) as he tries to pull one over on his wife Rosina (Ana Maria Labin), his valet Figaro ([**Robert Gleadow**](https://edu.medici.tv/en/artists/robert-gleadow), whose ""agile performance and delightfully expressive singing"" in all three operas make him the ""trump card"" of this trilogy, according to none other than *Le Figaro*), and Figaro's fiancée Susanna (Angela Brower), object of the Count's unwanted advances… Highlights (to name just a few among many!) include the world-famous Overture; Figaro's irresistibly catchy first-act aria ""Non più andrai""; Act II aria ""Voi, che sapete"" by the womanizing Cherubino (one of the great trouser roles, performed here by Miriam Albano); Rosina's Act II lament ""Dove sono""; and the duet ""Sull'aria … che soave zeffiretto"" from Act III, used to poignant effect in *The Shawshank Redemption*. Following several widely lauded runs across Europe, the celebrated Mozart / Da Ponte trilogy by stage director Ivan Alexandre and conductor Marc Minkowski makes a triumphant return to the exquisite Royal Opera of the Château de Versailles in 2023, and you can watch it in full on [medici.tv](https://edu.medici.tv/en)! Backed by Minkowski's marvelous Musiciens du Louvre, an expert cast breathes new life into the most famous operatic cycle this side of Wagner: *Le Nozze di Figaro*, [***Don Giovanni***](https://edu.medici.tv/en/operas/mozart-da-ponte-trilogy-don-giovanni-marc-minkowski-ivan-alexandre-opera-royal-de-versailles), (we will show this opera at the library on October 10th at 1 pm) and [***Così fan tutte***](https://edu.medici.tv/en/operas/mozart-da-ponte-trilogy-cosi-fan-tutte-marc-minkowski-ivan-alexandre-opera-royal-de-versailles) (we will show this opera at the library on October 17th at 1 pm) — the three masterpieces created by Mozart and librettist Lorenzo Da Ponte, all full of sparkling wit and instantly memorable arias and all counted among the crown jewels of the opera.",2025-10-03T13:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
17,Graphic Novel Collage Workshop,https://larchmont.librarycalendar.com/event/graphic-novel-collage-workshop-27761,"Create new, exciting artistic works using our art supplies and discarded graphic novels. Kids attend the program on their own. Caregivers must stay in the library building for the duration of the program. Kids 10 and older can be dropped off for this program.",2025-10-03T15:45:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,"kids, Children, Older School Age (Grades 3-5)",Larchmont Public Library
18,QiGONG with Steve Goldstein,https://larchmont.librarycalendar.com/event/qigong-steve-goldstein-19941,"Join certified QiGong teacher Steve Goldstein and learn about the ancient Chinese form of gentle exercise composed of movements that are repeated a number of times and can be performed by just about anyone. Participants are encouraged to wear comfortable clothing. Steve has trained with some of the leading experts in the fields of Energy Medicine, Reiki, Shamanism, Qigong, and Acupressure. Most recently he was an Earth Science teacher at Hommocks Middle School. Please sign up if you want reminders or want to be on an email list for this program.",2025-10-04T10:15:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
19,ESL conversation class with Nuara Costa,https://larchmont.librarycalendar.com/event/esl-conversation-class-nuara-costa-27438,"This 6-week ESL conversation program is aimed at anyone wanting to practice English in a judgment-free environment. You will be able to interact with people from different backgrounds but in the same learning process as you. We will cover one topic per class, allowing each person to express their opinion and learn from others. Nuara Costa has been teaching ESL for the past ten years. She has a degree in English Language and Literature from the University of Paraíba in Brazil and a CELTA (Certificate in Teaching English to Speakers of Other Languages) from Cambridge University. She has a C2 English level. She was an Au Pair here in Larchmont from 2015-2017. Registration is required for this event. Registration will close on October 18, 2025 @ 1:00pm. This event uses combined registration. If you register for this event, you will also be registering for all other occurrences.",2025-10-04T13:00:00,"The Michael P. Coords Activity Room at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",,adults,Larchmont Public Library
20,Saturday Afternoon Open Play Chess,https://larchmont.librarycalendar.com/event/saturday-afternoon-open-play-chess-22562,Join us for a Saturday afternoon game of chess. Chess pieces are provided.,2025-10-04T13:30:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
21,October with the FRIENDS - Anika Burgess,https://larchmont.librarycalendar.com/event/friends-program-26867,"Reception at 3:30pm A conversation with photography editor and author Anika Burgess about her new book, *Flashes of Brilliance: The Genius of Early Photography and How it Transformed Art, History, and Science*. Burgess explores how photographers uncovered new vistas, including catacombs, cities at night, the depths of the ocean, and the surface of the moon.",2025-10-05T16:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Avenue, Larchmont, NY 10538",,adults,Larchmont Public Library
22,Robert the Guitar Guy,https://larchmont.librarycalendar.com/event/robert-guitar-guy-21075,"Come and experience the musical talent of Robert the Guitar Guy while you clap and dance along to the beat! AGES 0-3 with a caregiver. This is a drop-in program, no registration required. Caregiver must attend. If your child is too sick to attend school or participate in other activities please use common sense and refrain from bringing them to the library.",2025-10-06T10:00:00,"The Village Center (entrance at rear of Library) at Larchmont Public Library, 121 Larchmont Ave, Larchmont, NY 10538",Free,"Babies (0-12 months), Toddlers (1-3), Children",Larchmont Public Library
23,Sherlock Holmes and the Templars of Zoom,https://larchmont.librarycalendar.com/event/frank-conversations-zoom-20279,Join this discussion focused on stories by Sir Arthur Conan Doyle featuring the World’s greatest sleuth: Sherlock Holmes. For this meeting the focus is on The Adventure of the Sussex Vampire.,2025-10-06T10:00:00,Online at Larchmont Public Library,,adults,Larchmont Public Library
